"","CVE_ENT","N","denuncias_homs","poblacion","tasahom","bribes_preval","bribes_inci","bribes_conc","bribes_abvic","bribes_abincs","Incidence","Prevalence","Concentration","defun","defun_arma","ind_general","ind_derecho","Derecho","General","ENTIDAD","AÑO","drogas","do","armas","ab_ext_preval","ab_ext_inc"
"1",1,781,39,1252265,3.11435678550467,42.25352,104.9936,2.484848,33,82,67.86172,57.61844,1.1777778086321,48,16,59.34974972,57.46747699,57.46747699,59.34974972,"AGUASCALIENTES",2013,81,37,103,45.00000164,53.00000332
"2",2,597,775,3381080,22.9216699989353,56.95142,80.40201,1.411765,34,48,95.47739,82.07705,1.16326537077051,762,416,51.88343674,28.37476853,28.37476853,51.88343674,"BAJA CALIFORNIA",2013,3524,23,1350,48.99999885,57.00000183
"3",3,782,56,718196,7.79731438214638,42.19949,86.95652,2.060606,33,68,51.1509,40.92072,1.25,54,19,52.05604619,62.9981314,62.9981314,52.05604619,"BAJA CALIFORNIA SUR",2013,186,5,69,32.00000304,40.0000038
"4",4,961,67,880299,7.61105033630619,39.54214,89.49011,2.263158,38,86,190.42664,123.82934,1.53781518984112,76,27,45.59071685,78.39660856,78.39660856,45.59071685,"CAMPECHE",2013,37,5,66,118.99999574,183.00000104
"5",5,770,645,2890108,22.3175050897752,29.87013,59.74026,2,23,46,58.44156,37.66234,1.55172408299644,770,512,51.67432197,66.01577608,66.01577608,51.67432197,"COAHUILA",2013,186,84,387,29.0000018,45.0000012
"6",6,827,178,698295,25.4906593918043,16.92866,31.43894,1.857143,14,26,159.61306,93.10762,1.71428568359926,226,163,55.61780798,66.31060954,66.31060954,55.61780798,"COLIMA",2013,104,31,257,77.00000174,132.00000062
"7",7,1245,503,5119186,9.82578089563458,47.38956,86.74699,1.830508,59,108,92.36948,60.24096,1.53333346613334,479,180,35.11394234,65.4812545,65.4812545,35.11394234,"CHIAPAS",2013,385,23,352,74.9999952,115.0000026
"8",8,967,1443,3635966,39.6868397559273,32.05791,46.53568,1.451613,31,45,105.48087,61.01344,1.72881368432922,2035,1343,49.85956409,50.09458084,50.09458084,49.85956409,"CHIHUAHUA",2013,578,35,724,58.99999648,102.00000129
"9",9,880,749,8893742,8.42165198855555,36.36364,155.68182,4.28125,32,137,78.40909,56.81818,1.38000002816,1081,630,67.84575801,41.47864932,41.47864932,67.84575801,"CIUDAD DE MEXICO",2013,660,174,976,49.9999984,68.9999992
"10",10,704,476,1728429,27.5394592430467,26.98864,41.19318,1.526316,19,29,102.27273,53.97727,1.89473698836566,453,284,42.54767005,56.71345893,56.71345893,42.54767005,"DURANGO",2013,90,14,288,37.99999808,72.00000192
"11",11,534,641,5719709,11.2068638456956,50.5618,80.52434,1.592593,27,43,117.97753,99.25094,1.1886792205696,701,436,45.62423443,71.09206882,71.09206882,45.62423443,"GUANAJUATO",2013,3738,29,932,53.00000196,63.00000102
"12",12,881,2087,3523858,59.2248609336699,74.91487,98.75142,1.318182,66,87,287.17367,190.6924,1.50595236097506,2221,1628,25.25566847,29.32094555,29.32094555,25.25566847,"GUERRERO",2013,249,95,726,168.0000044,253.00000327
"13",13,796,123,2806334,4.38294230123713,32.66332,130.65327,4,26,104,187.18593,69.09548,2.70909081172893,166,77,43.42897144,62.14954131,62.14954131,43.42897144,"HIDALGO",2013,83,20,318,55.00000208,149.00000028
"14",14,745,1099,7742303,14.1947428303956,48.32215,72.48322,1.5,36,54,85.90604,65.77181,1.30612248621408,1487,903,53.59806279,49.44944331,49.44944331,53.59806279,"JALISCO",2013,1033,53,1551,48.99999845,63.9999998
"15",15,628,1932,16364210,11.806252791916,84.3949,181.52866,2.150943,53,114,219.74522,164.01274,1.33980579801301,3265,2049,49.01726838,26.66048972,26.66048972,49.01726838,"MEXICO",2013,241,112,1253,103.00000072,137.99999816
"16",16,977,902,4529914,19.9120778010355,41.9652,75.74207,1.804878,41,74,246.67349,123.84852,1.99173546845776,949,662,37.96858595,48.95029338,48.95029338,37.96858595,"MICHOACAN",2013,438,83,874,121.00000404,240.99999973
"17",17,648,597,1874188,31.853794816742,94.1358,364.19753,3.868852,61,236,290.12346,169.75309,1.70909089195372,638,402,49.24050346,21.36819868,21.36819868,49.24050346,"MORELOS",2013,146,28,455,110.00000232,188.00000208
"18",18,664,151,1178403,12.8139524424157,49.6988,93.37349,1.878788,33,62,106.92771,61.74699,1.73170724597264,214,134,44.58311602,63.34199491,63.34199491,44.58311602,"NAYARIT",2013,140,10,138,41.00000136,70.99999944
"19",19,838,719,4941059,14.5515364216456,36.99284,121.71838,3.290323,31,102,133.65155,75.179,1.77777770388007,830,526,60.6281232,53.85148402,53.85148402,60.6281232,"NUEVO LEON",2013,591,42,677,63.000002,111.9999989
"20",20,870,536,3959042,13.53862878949,67.81609,131.03448,1.932203,59,114,209.1954,114.94253,1.81999995998,745,404,32.89702292,52.81319519,52.81319519,32.89702292,"OAXACA",2013,340,25,1006,100.0000011,181.999998
"21",21,955,409,6067607,6.74071343117641,59.68586,113.08901,1.894737,57,108,150.78534,77.48691,1.94594596687363,553,291,47.77011473,56.56938767,56.56938767,47.77011473,"PUEBLA",2013,108,15,399,73.99999905,143.9999997
"22",22,923,111,1943889,5.71020258872806,23.83532,31.41928,1.318182,22,29,83.42362,67.17226,1.24193558471905,117,43,56.05949523,61.37696738,61.37696738,56.05949523,"QUERETARO",2013,143,5,240,61.99999598,77.00000126
"23",23,813,214,1484960,14.4111625902381,71.34071,125.46125,1.758621,58,102,72.57073,49.20049,1.47500014735626,156,55,51.05637039,54.86740522,54.86740522,51.05637039,"QUINTANA ROO",2013,187,5,109,39.99999837,59.00000349
"24",24,976,261,2702145,9.65899313323304,19.46721,33.81148,1.736842,19,33,116.80328,66.59836,1.7538461908071,298,169,45.563979,52.92133173,52.92133173,45.563979,"SAN LUIS POTOSI",2013,96,36,516,64.99999936,114.00000128
"25",25,721,1208,2932313,41.1961478873504,47.15673,88.7656,1.882353,34,64,128.98752,51.31761,2.51351378211105,1210,992,52.66720591,55.05891697,55.05891697,52.66720591,"SINALOA",2013,641,27,737,36.99999681,93.00000192
"26",26,635,575,2851462,20.165094256911,31.49606,111.81102,3.55,20,71,45.66929,29.92126,1.5263157367036,648,464,54.2758109,61.13167571,61.13167571,54.2758109,"SONORA",2013,1458,26,811,19.0000001,28.99999915
"27",27,954,140,2334493,5.99701948131778,29.3501,64.98952,2.214286,28,62,107.96646,51.36268,2.10204101499377,238,111,39.6469988,49.83377476,49.83377476,39.6469988,"TABASCO",2013,157,26,113,48.99999672,103.00000284
"28",28,1657,555,3461336,16.0342711600376,60.95353,103.19855,1.693069,101,171,172.60109,108.63005,1.58888898605865,832,476,51.00001793,59.66503044,59.66503044,51.00001793,"TAMAULIPAS",2013,609,63,1632,179.99999285,286.00000613
"29",29,883,70,1242734,5.63274200271337,72.48018,420.15855,5.796875,64,371,141.56285,87.20272,1.62337654146568,89,26,41.35371391,55.49902747,55.49902747,41.35371391,"TLAXCALA",2013,121,5,87,77.00000176,124.99999655
"30",30,1050,863,7923198,10.892066562012,45.71429,199.04762,4.354167,48,209,211.42857,114.28571,1.850000056875,769,380,41.50917977,55.52833464,55.52833464,41.50917977,"VERACRUZ",2013,317,65,468,119.9999955,221.9999985
"31",31,1048,40,2064151,1.93784272565331,41.98473,82.06107,1.954545,44,86,48.66412,23.85496,2.04000006707201,46,8,48.50365909,74.86927943,74.86927943,48.50365909,"YUCATAN",2013,89,0,31,24.99999808,50.99999776
"32",32,1469,167,1550179,10.7729494464833,27.22941,49.01293,1.8,40,72,73.5194,56.50102,1.30120482780665,390,264,42.10039481,50.81498602,50.81498602,42.10039481,"ZACATECAS",2013,105,42,263,82.99999838,107.9999986
